AverageTestEpRet	StdTestEpRet	AverageEpRet	StdEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time	Epoch
-724.4136	636.1467	-176.18742	112.20571	92.654205	167.05	9999	0.3175028324127197	1
-297.62567	125.36569	-165.16153	108.32361	93.88785	193.0	19999	0.5589232325553894	2
-411.2544	222.86467	-153.75972	92.92488	98.20588	213.9	29999	0.8074893871943156	3
-289.331	67.03429	-153.53447	88.18809	98.485146	137.1	39999	1.1194555521011353	4
-108.928246	183.24146	-149.63345	93.39847	123.54321	210.6	49999	1.3927434007326762	5
-232.29868	85.78765	-108.66397	76.34988	101.64646	112.05	59999	1.6243709524472554	6
-127.090164	117.33135	-127.349106	89.10935	102.91398	282.45	69999	1.924698297182719	7
-156.22934	145.1123	-100.94422	61.089462	122.64706	267.45	79999	2.251494884490967	8
-381.1311	169.88509	-98.29598	68.15464	121.097565	177.3	89999	2.560120983918508	9
-98.51108	132.88557	-91.52472	77.72738	125.3875	380.25	99999	2.943350334962209	10
-477.63336	219.47813	-104.041245	77.40368	138.88889	166.7	109999	3.24893833398819	11
-126.077515	100.216515	-73.918625	60.63107	124.3375	357.2	119999	3.6268232822418214	12
-111.636154	128.04677	-81.61622	69.34283	126.50633	309.4	129999	3.967420148849487	13
-141.31932	51.38701	-84.23169	78.099884	149.35822	172.5	139999	4.265078433354696	14
-156.03978	136.38643	-82.53713	89.49095	187.9796	585.25	149999	4.817947932084402	15
-50.798634	20.421959	-57.275463	74.7139	235.65218	1000.0	159999	5.736191070079803	16
-58.446053	21.325123	-60.14403	72.38582	249.26315	1000.0	169999	6.707142047087351	17
-91.25996	25.645851	-73.75685	78.2606	458.42856	1000.0	179999	7.6748885154724125	18
-22.817646	15.6493025	-69.36206	60.629173	443.70834	1000.0	189999	8.671227415402731	19
-28.183517	19.712513	-53.38984	92.343864	769.61536	1000.0	199999	9.822020280361176	20
-8.779931	20.726074	-35.064957	19.915865	919.5455	1000.0	209999	10.90376843214035	21
-14.044995	24.826084	-74.65061	99.82949	903.0909	1000.0	219999	12.059011967976888	22
-13.193895	21.31062	-17.368744	19.426847	932.5	1000.0	229999	13.256271783510844	23
-10.323177	18.885674	-31.890697	62.2639	1000.0	1000.0	239999	14.53880291779836	24
9.833343	50.485573	19.321733	60.57633	885.3333	943.95	249999	15.505312383174896	25
-14.474576	20.938854	-14.189575	83.23515	909.4545	1000.0	259999	16.609676965077718	26
70.17936	97.08572	5.059935	26.174871	1000.0	886.1	269999	17.61982363065084	27
154.63438	49.108196	62.09426	92.059845	878.1818	824.55	279999	18.47630926767985	28
191.57788	46.720387	87.58484	139.25827	850.0	710.3	289999	19.31101429859797	29
177.35994	68.83103	176.92778	44.326756	650.13336	523.4	299999	19.940078965822856	30
166.91232	74.646965	129.63498	143.48051	495.7619	701.7	309999	20.604468246301014	31
142.76726	64.582596	199.31145	61.43547	551.6111	647.15	319999	21.266944217681885	32
122.357315	178.75429	151.17119	69.75771	716.5714	518.2	329999	21.874890998999277	33
119.3091	127.32948	156.9629	89.006996	565.94116	658.5	339999	22.57548706928889	34
161.70905	76.756004	169.96121	75.67605	718.6429	657.95	349999	23.27947705189387	35
170.162	50.422237	175.8815	42.712677	729.4286	676.35	359999	24.051079233487446	36
166.63553	64.74544	166.48769	78.537415	626.375	638.4	369999	24.73319866657257	37
164.57086	71.48537	176.51877	41.950275	690.93335	745.95	379999	25.534197783470155	38
121.392624	89.20136	169.50534	63.18238	676.4286	689.25	389999	26.256716831525168	39
97.965866	101.06222	139.18721	93.07979	673.06665	759.35	399999	27.07189463376999	40
103.80797	143.65613	136.61032	86.974915	732.5	792.9	409999	27.90317229827245	41
66.403465	98.66665	152.87735	69.88467	633.6	820.2	419999	28.74408186674118	42
152.99422	94.42992	92.00281	128.75922	530.3	435.35	429999	29.17837691704432	43
163.67152	49.485977	120.33092	147.27477	493.55	568.55	439999	29.768110998471577	44
84.07666	100.59777	144.54102	114.73962	558.44446	624.15	449999	30.36303815046946	45
170.16959	78.6106	142.57158	92.44785	564.3889	415.75	459999	31.18594259818395	46
156.72433	71.86986	143.67825	79.60735	625.73334	584.85	469999	31.905472668011985	47
141.78625	68.90244	183.29529	92.63957	549.3684	686.35	479999	32.629567901293434	48
155.59679	70.49301	166.35146	121.59013	544.1667	531.95	489999	33.381027003129326	49
196.10838	48.913536	180.62561	93.18589	524.2632	490.7	499999	33.98324073155721	50
162.32706	67.69387	172.38902	88.227036	489.90475	616.0	509999	34.45469478368759	51
190.45682	63.432106	187.06273	87.67349	524.4737	517.7	519999	34.88412834803263	52
154.51346	85.09812	207.06445	56.940052	458.95456	684.25	529999	35.37834925254186	53
143.5122	117.17029	196.28032	68.30598	500.57895	573.95	539999	35.823314515749615	54
185.7552	43.719948	183.20898	93.27873	403.29166	502.7	549999	36.22890576521556	55
149.16878	86.75592	173.66705	98.475136	434.32	619.05	559999	36.699450103441876	56
184.32309	49.670544	185.7862	65.81826	441.68182	543.25	569999	37.131449949741366	57
142.06688	129.58778	146.42482	137.09627	395.76923	494.15	579999	37.52951225042343	58
174.43375	79.99844	120.84804	258.6066	454.4762	346.55	589999	37.885434599717456	59
199.43942	46.96188	212.16486	30.21705	488.38095	453.65	599999	38.27134866714478	60
